time,pr,scenario,region,pr_day
2080-12-31 00:00:00,2.96964e-05,ssp126,North America,2.565769
2081-12-31 00:00:00,2.8306638e-05,ssp126,North America,2.4456935
2082-12-31 00:00:00,3.0200636e-05,ssp126,North America,2.609335
2083-12-31 00:00:00,2.7927601e-05,ssp126,North America,2.4129448
2084-12-31 00:00:00,2.862452e-05,ssp126,North America,2.4731586
2085-12-31 00:00:00,2.8371149e-05,ssp126,North America,2.4512672
2086-12-31 00:00:00,2.8884902e-05,ssp126,North America,2.4956555
2087-12-31 00:00:00,2.9509778e-05,ssp126,North America,2.5496447
2088-12-31 00:00:00,2.9569854e-05,ssp126,North America,2.5548353
2089-12-31 00:00:00,2.9128396e-05,ssp126,North America,2.5166934
2090-12-31 00:00:00,2.9640267e-05,ssp126,North America,2.560919
2091-12-31 00:00:00,2.8774637e-05,ssp126,North America,2.4861286
2092-12-31 00:00:00,2.9594526e-05,ssp126,North America,2.556967
2093-12-31 00:00:00,3.0260378e-05,ssp126,North America,2.6144967
2094-12-31 00:00:00,2.9458382e-05,ssp126,North America,2.5452042
2095-12-31 00:00:00,2.8883265e-05,ssp126,North America,2.4955142
2096-12-31 00:00:00,2.884926e-05,ssp126,North America,2.492576
2097-12-31 00:00:00,2.9650142e-05,ssp126,North America,2.5617723
2098-12-31 00:00:00,2.967922e-05,ssp126,North America,2.5642846
2099-12-31 00:00:00,2.9165452e-05,ssp126,North America,2.519895
2100-12-31 00:00:00,2.9819943e-05,ssp126,North America,2.576443
2015-12-31 00:00:00,3.868983e-05,ssp126,South America,3.342801
2016-12-31 00:00:00,3.586936e-05,ssp126,South America,3.0991127
2017-12-31 00:00:00,3.817571e-05,ssp126,South America,3.2983813
2018-12-31 00:00:00,3.9093175e-05,ssp126,South America,3.3776503
2019-12-31 00:00:00,3.9306415e-05,ssp126,South America,3.3960743
2020-12-31 00:00:00,3.7799447e-05,ssp126,South America,3.2658722
2021-12-31 00:00:00,4.0010556e-05,ssp126,South America,3.456912
2022-12-31 00:00:00,4.0985746e-05,ssp126,South America,3.5411685
2023-12-31 00:00:00,4.0480605e-05,ssp126,South America,3.4975243
2024-12-31 00:00:00,3.9918894e-05,ssp126,South America,3.4489925
2025-12-31 00:00:00,3.7846636e-05,ssp126,South America,3.2699494
2026-12-31 00:00:00,3.8252452e-05,ssp126,South America,3.305012
2027-12-31 00:00:00,3.800273e-05,ssp126,South America,3.2834358
2028-12-31 00:00:00,3.796316e-05,ssp126,South America,3.2800171
2029-12-31 00:00:00,3.716543e-05,ssp126,South America,3.2110932
2030-12-31 00:00:00,3.763435e-05,ssp126,South America,3.2516077
2031-12-31 00:00:00,3.8535924e-05,ssp126,South America,3.3295038
2032-12-31 00:00:00,3.9913164e-05,ssp126,South America,3.4484973
2033-12-31 00:00:00,3.772171e-05,ssp126,South America,3.2591558
2034-12-31 00:00:00,3.8382703e-05,ssp126,South America,3.3162656
2035-12-31 00:00:00,3.8759506e-05,ssp126,South America,3.3488214
2036-12-31 00:00:00,3.680737e-05,ssp126,South America,3.1801567
2037-12-31 00:00:00,3.86664e-05,ssp126,South America,3.340777
2038-12-31 00:00:00,3.9078328e-05,ssp126,South America,3.3763676
2039-12-31 00:00:00,3.9753817e-05,ssp126,South America,3.4347298
2040-12-31 00:00:00,3.9535014e-05,ssp126,South America,3.4158251
2041-12-31 00:00:00,3.738629e-05,ssp126,South America,3.2301755
2042-12-31 00:00:00,3.8399427e-05,ssp126,South America,3.3177104
2043-12-31 00:00:00,3.9287417e-05,ssp126,South America,3.3944328
2044-12-31 00:00:00,3.8902035e-05,ssp126,South America,3.3611357
2045-12-31 00:00:00,3.6798952e-05,ssp126,South America,3.1794295
2046-12-31 00:00:00,3.5872683e-05,ssp126,South America,3.0993998
2047-12-31 00:00:00,3.802061e-05,ssp126,South America,3.2849808
2048-12-31 00:00:00,3.839687e-05,ssp126,South America,3.3174894
2049-12-31 00:00:00,3.8635902e-05,ssp126,South America,3.338142
2050-12-31 00:00:00,3.7466823e-05,ssp126,South America,3.2371335
2051-12-31 00:00:00,3.8244758e-05,ssp126,South America,3.304347
2052-12-31 00:00:00,3.7920003e-05,ssp126,South America,3.2762883
2053-12-31 00:00:00,3.874251e-05,ssp126,South America,3.3473527
2054-12-31 00:00:00,3.4974746e-05,ssp126,South America,3.0218182
2055-12-31 00:00:00,3.6962527e-05,ssp126,South America,3.1935623
2056-12-31 00:00:00,3.860824e-05,ssp126,South America,3.3357518
2057-12-31 00:00:00,3.8891434e-05,ssp126,South America,3.36022
2058-12-31 00:00:00,3.963856e-05,ssp126,South America,3.4247715
2059-12-31 00:00:00,3.9159688e-05,ssp126,South America,3.383397
2060-12-31 00:00:00,3.6858673e-05,ssp126,South America,3.1845894
2061-12-31 00:00:00,3.6294896e-05,ssp126,South America,3.135879
2062-12-31 00:00:00,3.9622726e-05,ssp126,South America,3.4234035
2063-12-31 00:00:00,3.79132e-05,ssp126,South America,3.2757006
2064-12-31 00:00:00,3.897063e-05,ssp126,South America,3.3670623
2065-12-31 00:00:00,3.9195857e-05,ssp126,South America,3.386522
2066-12-31 00:00:00,3.7776135e-05,ssp126,South America,3.263858
2067-12-31 00:00:00,3.9427556e-05,ssp126,South America,3.4065409
2068-12-31 00:00:00,3.765535e-05,ssp126,South America,3.2534223
2069-12-31 00:00:00,3.8239374e-05,ssp126,South America,3.303882
2070-12-31 00:00:00,4.0798855e-05,ssp126,South America,3.525021
2071-12-31 00:00:00,4.002085e-05,ssp126,South America,3.4578013
2072-12-31 00:00:00,3.9617727e-05,ssp126,South America,3.4229717
2073-12-31 00:00:00,3.8496226e-05,ssp126,South America,3.326074
2074-12-31 00:00:00,3.954834e-05,ssp126,South America,3.4169767
2075-12-31 00:00:00,3.8502556e-05,ssp126,South America,3.3266208
2076-12-31 00:00:00,3.723477e-05,ssp126,South America,3.2170842
2077-12-31 00:00:00,3.69189e-05,ssp126,South America,3.1897929
2078-12-31 00:00:00,3.7007227e-05,ssp126,South America,3.1974244
2079-12-31 00:00:00,3.8296075e-05,ssp126,South America,3.308781
2080-12-31 00:00:00,3.8280385e-05,ssp126,South America,3.3074253
2081-12-31 00:00:00,3.703434e-05,ssp126,South America,3.199767
2082-12-31 00:00:00,3.867168e-05,ssp126,South America,3.341233
2083-12-31 00:00:00,3.9372073e-05,ssp126,South America,3.401747
2084-12-31 00:00:00,4.2522766e-05,ssp126,South America,3.6739671
2085-12-31 00:00:00,3.7235033e-05,ssp126,South America,3.2171068
